Logging to ./logs_PPO_0.001_baseline
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 14       |
|    ep_rew_mean     | -80.9    |
| time/              |          |
|    fps             | 0        |
|    iterations      | 1        |
|    time_elapsed    | 425      |
|    total_timesteps | 64       |
---------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 14         |
|    ep_rew_mean          | -80.9      |
| time/                   |            |
|    fps                  | 0          |
|    iterations           | 2          |
|    time_elapsed         | 886        |
|    total_timesteps      | 128        |
| train/                  |            |
|    approx_kl            | 0.01066758 |
|    clip_fraction        | 0.0234     |
|    clip_range           | 0.2        |
|    entropy_loss         | -10.4      |
|    explained_variance   | 0.00236    |
|    learning_rate        | 0.0003     |
|    loss                 | 676        |
|    n_updates            | 10         |
|    policy_gradient_loss | -0.0449    |
|    value_loss           | 1.4e+03    |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 22          |
|    ep_rew_mean          | -125        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 3           |
|    time_elapsed         | 1349        |
|    total_timesteps      | 192         |
| train/                  |             |
|    approx_kl            | 0.010377924 |
|    clip_fraction        | 0.0312      |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.3       |
|    explained_variance   | 1.19e-07    |
|    learning_rate        | 0.0003      |
|    loss                 | 698         |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0453     |
|    value_loss           | 1.41e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 22          |
|    ep_rew_mean          | -125        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 4           |
|    time_elapsed         | 1764        |
|    total_timesteps      | 256         |
| train/                  |             |
|    approx_kl            | 0.007921223 |
|    clip_fraction        | 0.025       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.3       |
|    explained_variance   | -1.19e-07   |
|    learning_rate        | 0.0003      |
|    loss                 | 750         |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.0414     |
|    value_loss           | 1.51e+03    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 45.2       |
|    ep_rew_mean          | -240       |
| time/                   |            |
|    fps                  | 0          |
|    iterations           | 5          |
|    time_elapsed         | 2178       |
|    total_timesteps      | 320        |
| train/                  |            |
|    approx_kl            | 0.00744278 |
|    clip_fraction        | 0.00781    |
|    clip_range           | 0.2        |
|    entropy_loss         | -10.3      |
|    explained_variance   | 5.96e-08   |
|    learning_rate        | 0.0003     |
|    loss                 | 703        |
|    n_updates            | 40         |
|    policy_gradient_loss | -0.0396    |
|    value_loss           | 1.42e+03   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 52.4        |
|    ep_rew_mean          | -282        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 6           |
|    time_elapsed         | 2657        |
|    total_timesteps      | 384         |
| train/                  |             |
|    approx_kl            | 0.008388444 |
|    clip_fraction        | 0.0281      |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.3       |
|    explained_variance   | 0           |
|    learning_rate        | 0.0003      |
|    loss                 | 527         |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.0381     |
|    value_loss           | 1.06e+03    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 48.5       |
|    ep_rew_mean          | -258       |
| time/                   |            |
|    fps                  | 0          |
|    iterations           | 7          |
|    time_elapsed         | 3096       |
|    total_timesteps      | 448        |
| train/                  |            |
|    approx_kl            | 0.00933009 |
|    clip_fraction        | 0.0328     |
|    clip_range           | 0.2        |
|    entropy_loss         | -10.3      |
|    explained_variance   | 5.96e-08   |
|    learning_rate        | 0.0003     |
|    loss                 | 1.02e+03   |
|    n_updates            | 60         |
|    policy_gradient_loss | -0.0388    |
|    value_loss           | 2.06e+03   |
----------------------------------------
-----------------------------------------
| eval/                   |             |
|    mean_ep_length       | 133         |
|    mean_reward          | -309        |
| time/                   |             |
|    total_timesteps      | 512         |
| train/                  |             |
|    approx_kl            | 0.005723533 |
|    clip_fraction        | 0.00469     |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.3       |
|    explained_variance   | 1.79e-07    |
|    learning_rate        | 0.0003      |
|    loss                 | 647         |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.0348     |
|    value_loss           | 1.3e+03     |
-----------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 47.1     |
|    ep_rew_mean     | -256     |
| time/              |          |
|    fps             | 0        |
|    iterations      | 8        |
|    time_elapsed    | 6320     |
|    total_timesteps | 512      |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 44.1        |
|    ep_rew_mean          | -239        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 9           |
|    time_elapsed         | 6729        |
|    total_timesteps      | 576         |
| train/                  |             |
|    approx_kl            | 0.006100571 |
|    clip_fraction        | 0.0141      |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.3       |
|    explained_variance   | 5.96e-08    |
|    learning_rate        | 0.0003      |
|    loss                 | 870         |
|    n_updates            | 80          |
|    policy_gradient_loss | -0.0329     |
|    value_loss           | 1.75e+03    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50.9         |
|    ep_rew_mean          | -272         |
| time/                   |              |
|    fps                  | 0            |
|    iterations           | 10           |
|    time_elapsed         | 7135         |
|    total_timesteps      | 640          |
| train/                  |              |
|    approx_kl            | 0.0069114286 |
|    clip_fraction        | 0.0141       |
|    clip_range           | 0.2          |
|    entropy_loss         | -10.2        |
|    explained_variance   | 1.79e-07     |
|    learning_rate        | 0.0003       |
|    loss                 | 649          |
|    n_updates            | 90           |
|    policy_gradient_loss | -0.0343      |
|    value_loss           | 1.31e+03     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50.9        |
|    ep_rew_mean          | -272        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 11          |
|    time_elapsed         | 7490        |
|    total_timesteps      | 704         |
| train/                  |             |
|    approx_kl            | 0.010347788 |
|    clip_fraction        | 0.0312      |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.2       |
|    explained_variance   | -1.19e-07   |
|    learning_rate        | 0.0003      |
|    loss                 | 569         |
|    n_updates            | 100         |
|    policy_gradient_loss | -0.0433     |
|    value_loss           | 1.14e+03    |
-----------------------------------------
