time/iterations,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/is_line_search_success,train/explained_variance,train/n_updates,train/policy_objective,train/learning_rate,train/kl_divergence_loss,train/value_loss,eval/mean_reward,eval/mean_ep_length
1,64,15.0,-79.324616,0,500,,,,,,,,,
2,128,23.0,-108.61050750000001,0,979,1.0,-0.027903437614440918,1,0.19661575555801392,0.0003,0.004484458826482296,1137.0498168945312,,
3,192,18.333333333333332,-90.61675100000001,0,1506,1.0,0.0,2,0.39175108075141907,0.0003,0.02306540310382843,1908.49462890625,,
4,256,18.333333333333332,-90.61675100000001,0,1968,1.0,0.0,3,0.6831451058387756,0.0003,0.04668460041284561,2028.1684204101562,,
5,320,35.8,-211.9690216,0,2440,1.0,-1.1920928955078125e-07,4,0.6253384351730347,0.0003,0.04066692292690277,2004.8252075195312,,
6,384,40.857142857142854,-222.43890971428573,0,2938,1.0,0.0,5,0.68387770652771,0.0003,0.032356567680835724,1202.1092163085937,,
7,448,41.111111111111114,-233.07890733333332,0,3452,1.0,0.0,6,0.7242639660835266,0.0003,0.03820443153381348,1290.6505615234375,,
,512,,,,,1.0,0.0,7,0.9414438605308533,0.0003,0.04211948439478874,1806.611181640625,-292.0063798,197.2
8,512,41.111111111111114,-233.07890733333332,0,6695,,,,,,,,,
9,576,40.5,-225.60581910000002,0,7151,1.0,0.0,8,1.5304269790649414,0.0003,0.08556190878152847,1739.12802734375,,
10,640,46.166666666666664,-259.23023083333334,0,7606,1.0,1.7881393432617188e-07,9,0.864545464515686,0.0003,0.042714398354291916,1321.0530883789063,,
11,704,44.714285714285715,-249.10133078571425,0,8047,1.0,0.0,10,0.8796893358230591,0.0003,0.061670929193496704,1052.2167236328125,,
12,768,44.53333333333333,-245.60890593333332,0,8476,1.0,0.0,11,1.096269965171814,0.0003,0.057773906737565994,991.6382568359375,,
13,832,45.1875,-244.6482664375,0,8935,1.0,0.0,12,0.8242993354797363,0.0003,0.05465082824230194,1267.4689086914063,,
14,896,45.529411764705884,-244.66172541176473,0,9308,1.0,1.1920928955078125e-07,13,0.859078049659729,0.0003,0.052126459777355194,1225.0009155273438,,
15,960,44.111111111111114,-236.36139733333337,0,9714,1.0,0.0,14,0.9195904731750488,0.0003,0.05588745325803757,708.3138671875,,
,1024,,,,,1.0,1.1920928955078125e-07,15,1.601607322692871,0.0003,0.06244153156876564,1205.0764892578125,-183.631291,400.0
16,1024,45.2,-241.26244415000002,0,12944,,,,,,,,,
17,1088,47.04545454545455,-244.63806990909094,0,13397,1.0,-1.1920928955078125e-07,16,0.8828146457672119,0.0003,0.04743971675634384,957.7093994140625,,
18,1152,47.04545454545455,-244.63806990909094,0,13790,1.0,0.0,17,0.6955784559249878,0.0003,0.055682770907878876,1020.0104614257813,,
19,1216,46.32,-236.1343776,0,14217,1.0,-1.1920928955078125e-07,18,0.9680713415145874,0.0003,0.051672372967004776,1013.5282409667968,,
20,1280,44.22222222222222,-223.11401292592595,0,14603,1.0,0.0,19,1.0032017230987549,0.0003,0.05082634091377258,383.1236328125,,
21,1344,44.22222222222222,-223.11401292592595,0,14972,1.0,0.0,20,0.7684864401817322,0.0003,0.04961778596043587,931.8091918945313,,
22,1408,44.22222222222222,-223.11401292592595,0,15330,1.0,0.0,21,0.7554737329483032,0.0003,0.05587449297308922,924.734423828125,,
23,1472,46.51724137931034,-230.44027596551726,0,15670,1.0,1.1920928955078125e-07,22,0.838546097278595,0.0003,0.04953068494796753,697.9846862792969,,
,1536,,,,,1.0,5.960464477539063e-08,23,0.7977536916732788,0.0003,0.05204373225569725,569.0057434082031,-187.993961,390.8
24,1536,46.51724137931034,-230.44027596551726,0,18834,,,,,,,,,
25,1600,46.96774193548387,-229.7239831935484,0,19186,1.0,0.0,24,1.1527364253997803,0.0003,0.05571771785616875,877.5208862304687,,
26,1664,48.53125,-234.35415053125,0,19515,1.0,0.0,25,1.010246992111206,0.0003,0.05445433780550957,748.18046875,,
27,1728,48.53125,-234.35415053125,0,19890,1.0,0.0,26,0.6730772256851196,0.0003,0.050613563507795334,557.2301940917969,,
28,1792,48.53125,-234.35415053125,0,20223,1.0,0.0,27,0.6792588233947754,0.0003,0.04949645698070526,964.7550659179688,,
29,1856,50.09090909090909,-240.0146957878788,0,20576,1.0,0.0,28,0.7791696786880493,0.0003,0.06040749326348305,1000.4255126953125,,
30,1920,50.529411764705884,-241.62605802941175,0,20913,1.0,0.0,29,0.8263498544692993,0.0003,0.08240830898284912,685.1993103027344,,
31,1984,50.529411764705884,-241.62605802941175,0,21236,1.0,0.0,30,1.1187825202941895,0.0003,0.05318080261349678,472.9828826904297,,
,2048,,,,,1.0,1.1920928955078125e-07,31,0.7712170481681824,0.0003,0.06123460829257965,590.4312866210937,-184.47016019999998,394.2
32,2048,53.888888888888886,-250.68359716666666,0,24381,,,,,,,,,
33,2112,54.21621621621622,-248.76558864864865,0,24687,1.0,-1.1920928955078125e-07,32,0.6930130124092102,0.0003,0.05649002641439438,508.35393676757815,,
34,2176,54.21621621621622,-248.76558864864865,0,25022,1.0,0.0,33,1.0250016450881958,0.0003,0.06391331553459167,427.64414367675784,,
35,2240,54.21621621621622,-248.76558864864865,0,25333,1.0,-2.384185791015625e-07,34,0.8678762912750244,0.0003,0.06819809973239899,696.34599609375,,
36,2304,54.17948717948718,-243.62346471794874,0,25652,1.0,5.960464477539063e-08,35,1.0024210214614868,0.0003,0.08140278607606888,467.7045440673828,,
37,2368,54.58536585365854,-242.3378350731707,0,25950,1.0,0.0,36,0.6755391955375671,0.0003,0.07190363109111786,311.1546325683594,,
38,2432,54.58536585365854,-242.3378350731707,0,26264,1.0,-1.1920928955078125e-07,37,1.007573127746582,0.0003,0.07925796508789062,256.1240859985352,,
39,2496,55.23255813953488,-240.5300519767442,0,26529,1.0,-1.1920928955078125e-07,38,0.8502604961395264,0.0003,0.07564985752105713,690.2914245605468,,
,2560,,,,,1.0,5.960464477539063e-08,39,0.7935724258422852,0.0003,0.059513919055461884,191.90554504394532,-204.99256839999998,396.0
40,2560,55.25,-237.72140677272728,0,29613,,,,,,,,,
41,2624,54.84444444444444,-234.4003083111111,0,29897,1.0,0.0,40,1.002885341644287,0.0003,0.06450024247169495,292.3947265625,,
42,2688,54.84444444444444,-234.4003083111111,0,30139,1.0,0.0,41,0.9048497676849365,0.0003,0.07298602163791656,334.2795471191406,,
43,2752,56.19565217391305,-236.88777552173914,0,30395,1.0,0.0,42,0.8563683032989502,0.0003,0.06277994811534882,399.37743225097654,,
44,2816,56.255319148936174,-234.3412315531915,0,30676,1.0,0.0,43,0.5214835405349731,0.0003,0.07391564548015594,332.2722564697266,,
45,2880,56.255319148936174,-234.3412315531915,0,30958,1.0,5.960464477539063e-08,44,0.77569580078125,0.0003,0.06694954633712769,524.6182983398437,,
46,2944,56.255319148936174,-234.3412315531915,0,31179,1.0,0.0,45,0.7732858061790466,0.0003,0.07865829765796661,376.33460693359376,,
