time/iterations,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/explained_variance,train/approx_kl,train/clip_fraction,train/loss,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/entropy_loss,train/clip_range,train/value_loss,eval/mean_reward,eval/mean_ep_length
1,64,14.0,-80.931749,0,412,,,,,,,,,,,,
2,128,14.0,-80.931749,0,865,0.003979742527008057,0.012337673,0.0265625,628.91748046875,-0.04907322861254215,10,0.0003,-10.355007457733155,0.2,1297.018505859375,,
3,192,29.0,-132.80558933333333,0,1320,0.0,0.013255373,0.06875,606.8843994140625,-0.05092278588563204,20,0.0003,-10.344224643707275,0.2,1227.8317504882812,,
4,256,29.0,-132.80558933333333,0,1745,0.0,0.009837223,0.034375,601.4386596679688,-0.04792186804115772,30,0.0003,-10.328796672821046,0.2,1214.4789916992188,,
5,320,39.75,-197.20570225,0,2196,0.0,0.008149838,0.0375,673.8716430664062,-0.03976563923060894,40,0.0003,-10.315431594848633,0.2,1359.19287109375,,
6,384,48.0,-244.1633508,0,2661,5.960464477539063e-08,0.007254501,0.0171875,623.639404296875,-0.03804940581321716,50,0.0003,-10.307303333282471,0.2,1256.9391967773438,,
7,448,41.42857142857143,-207.1337487142857,0,3065,5.960464477539063e-08,0.009552674,0.03125,898.4871215820312,-0.037687619030475614,60,0.0003,-10.288030815124511,0.2,1808.1204956054687,,
,512,,,,,0.0,0.006872235,0.0140625,476.2591247558594,-0.037837601453065875,70,0.0003,-10.273942279815675,0.2,959.7382507324219,-183.02501539999997,200.0
8,512,48.888888888888886,-251.66440466666668,0,6271,,,,,,,,,,,,
9,576,47.3,-241.42072930000003,0,6672,0.0,0.013299373,0.0578125,696.4805908203125,-0.05275816712528467,80,0.0003,-10.25428285598755,0.2,1400.8256469726562,,
10,640,47.3,-241.42072930000003,0,7050,0.0,0.0121987695,0.0625,368.6083984375,-0.04465885907411575,90,0.0003,-10.21614933013916,0.2,743.0037475585938,,
11,704,48.90909090909091,-247.5471283636364,0,7451,0.0,0.014821068,0.0640625,341.5318908691406,-0.04960230588912964,100,0.0003,-10.186589622497559,0.2,688.6086120605469,,
12,768,48.90909090909091,-247.5471283636364,0,7840,-1.1920928955078125e-07,0.009226799,0.021875,393.4744567871094,-0.037748335674405095,110,0.0003,-10.145546817779541,0.2,792.5029479980469,,
13,832,52.166666666666664,-257.3996548333334,0,8170,-1.1920928955078125e-07,0.009213571,0.021875,468.1217041015625,-0.037196427956223486,120,0.0003,-10.148195838928222,0.2,942.6124206542969,,
14,896,57.57142857142857,-272.96893121428576,0,8562,1.1920928955078125e-07,0.011879311,0.0671875,286.1368408203125,-0.04338397495448589,130,0.0003,-10.160109615325927,0.2,576.9631103515625,,
15,960,57.57142857142857,-272.96893121428576,0,8960,-1.1920928955078125e-07,0.011848001,0.05625,311.50079345703125,-0.04742661034688354,140,0.0003,-10.148009014129638,0.2,627.4384155273438,,
,1024,,,,,5.960464477539063e-08,0.006678966,0.0234375,507.4692077636719,-0.035843107104301455,150,0.0003,-10.118657875061036,0.2,1021.0230041503906,-183.6530272,200.0
16,1024,57.57142857142857,-272.96893121428576,0,12043,,,,,,,,,,,,
17,1088,60.46666666666667,-279.5452128666667,0,12422,1.7881393432617188e-07,0.010574155,0.0515625,360.577880859375,-0.041087645664811136,160,0.0003,-10.110985279083252,0.2,726.2289184570312,,
18,1152,60.46666666666667,-279.5452128666667,0,12768,0.0,0.009285669,0.025,526.0516967773438,-0.03431394025683403,170,0.0003,-10.092340183258056,0.2,1057.87724609375,,
19,1216,62.75,-286.25055406250004,0,13047,0.0,0.0051592477,0.0140625,395.96099853515625,-0.025230436585843563,180,0.0003,-10.064274501800536,0.2,797.1757751464844,,
20,1280,64.47058823529412,-292.6096973529412,0,13387,0.0,0.019144475,0.10625,271.8649597167969,-0.04997660778462887,190,0.0003,-10.02440586090088,0.2,547.6896545410157,,
21,1344,67.11111111111111,-297.6368210555556,0,13681,-1.1920928955078125e-07,0.010530417,0.04375,286.4881286621094,-0.03636628314852715,200,0.0003,-9.964962577819824,0.2,577.2951904296875,,
22,1408,67.11111111111111,-297.6368210555556,0,13983,-1.1920928955078125e-07,0.017948698,0.0921875,201.07151794433594,-0.05390248708426952,210,0.0003,-9.912430763244629,0.2,405.6424987792969,,
23,1472,67.11111111111111,-297.6368210555556,0,14274,-1.1920928955078125e-07,0.021898726,0.1171875,290.048095703125,-0.058060924708843234,220,0.0003,-9.794366931915283,0.2,584.4798217773438,,
,1536,,,,,-1.1920928955078125e-07,0.015252838,0.0734375,208.25350952148438,-0.04643708672374487,230,0.0003,-9.712809658050537,0.2,420.15394592285156,-183.4251402,400.0
24,1536,67.21052631578948,-292.92266289473685,0,17364,,,,,,,,,,,,
25,1600,68.25,-290.4508911,0,17602,0.0,0.03271477,0.171875,130.954833984375,-0.06648496575653554,240,0.0003,-9.56152276992798,0.2,264.712353515625,,
26,1664,71.52380952380952,-292.8413868095238,0,17833,0.0,0.018527184,0.103125,87.24485778808594,-0.05991819240152836,250,0.0003,-9.43775577545166,0.2,176.87929992675782,,
27,1728,72.27272727272727,-290.1854348636364,0,18072,0.0,0.02827879,0.1625,93.69670867919922,-0.0606707664206624,260,0.0003,-9.433082866668702,0.2,189.81277770996093,,
28,1792,72.27272727272727,-290.1854348636364,0,18299,0.0,0.021897698,0.1015625,141.3666229248047,-0.05514770969748497,270,0.0003,-9.29935417175293,0.2,285.50782165527346,,
29,1856,72.27272727272727,-290.1854348636364,0,18521,-1.1920928955078125e-07,0.0308385,0.1765625,96.74530029296875,-0.06773603148758411,280,0.0003,-9.231454944610595,0.2,196.17371063232423,,
30,1920,72.27272727272727,-290.1854348636364,0,18783,1.1920928955078125e-07,0.016395954,0.08125,83.72001647949219,-0.050429463014006616,290,0.0003,-9.169335842132568,0.2,169.99528961181642,,
31,1984,72.27272727272727,-290.1854348636364,0,18974,0.0,0.01536713,0.071875,196.7268829345703,-0.04491160828620196,300,0.0003,-9.102083873748779,0.2,397.0996887207031,,
,2048,,,,,0.0,0.025281565,0.14375,88.45252227783203,-0.06435097120702267,310,0.0003,-8.986308002471924,0.2,179.32073211669922,-183.6867242,400.0
32,2048,72.27272727272727,-290.1854348636364,0,22040,,,,,,,,,,,,
33,2112,75.8695652173913,-289.931664,0,22247,0.0,0.020967763,0.0953125,115.75106811523438,-0.06176312305033207,320,0.0003,-8.851637363433838,0.2,234.41734008789064,,
34,2176,75.8695652173913,-289.931664,0,22444,0.0,0.039487112,0.25,35.48598861694336,-0.0727888073772192,330,0.0003,-8.729203701019287,0.2,72.49301528930664,,
35,2240,79.16666666666667,-290.5184770833334,0,22664,-1.1920928955078125e-07,0.03676312,0.2296875,51.786312103271484,-0.05602402985095978,340,0.0003,-8.623913192749024,0.2,105.51727523803712,,
36,2304,82.28,-290.392596,0,22852,0.0,0.028057288,0.1484375,91.23846435546875,-0.06148949712514877,350,0.0003,-8.444341087341309,0.2,184.75949249267578,,
37,2368,85.38461538461539,-291.10167688461536,0,23022,0.0,0.02848405,0.14375,52.708797454833984,-0.06650610836222767,360,0.0003,-8.307341861724854,0.2,107.3370864868164,,
38,2432,85.38461538461539,-291.10167688461536,0,23205,0.0,0.039110675,0.234375,24.540691375732422,-0.07378382310271263,370,0.0003,-8.390359878540039,0.2,50.441978454589844,,
39,2496,85.38461538461539,-291.10167688461536,0,23381,1.7881393432617188e-07,0.024425887,0.128125,52.55552291870117,-0.05177561342716217,380,0.0003,-8.444827270507812,0.2,107.10808639526367,,
,2560,,,,,-1.1920928955078125e-07,0.013451718,0.0546875,73.87794494628906,-0.04955791477113962,390,0.0003,-8.421911430358886,0.2,150.15227508544922,-184.0605504,400.0
40,2560,85.38461538461539,-291.10167688461536,0,26355,,,,,,,,,,,,
41,2624,85.38461538461539,-291.10167688461536,0,26515,0.0,0.025055602,0.140625,55.697330474853516,-0.06336319781839847,400,0.0003,-8.511184692382812,0.2,113.44521484375,,
42,2688,85.38461538461539,-291.10167688461536,0,26672,0.0,0.021403098,0.1078125,52.95729446411133,-0.06460088370367885,410,0.0003,-8.385446643829345,0.2,107.99154129028321,,
43,2752,85.38461538461539,-291.10167688461536,0,26806,0.0,0.016373124,0.0703125,40.47648239135742,-0.05288367532193661,420,0.0003,-8.250005340576172,0.2,82.8620590209961,,
44,2816,85.38461538461539,-291.10167688461536,0,26959,0.0,0.033447925,0.178125,31.484161376953125,-0.07505618464201688,430,0.0003,-8.17016668319702,0.2,64.67384033203125,,
45,2880,85.38461538461539,-291.10167688461536,0,27119,1.1920928955078125e-07,0.019272793,0.1015625,39.65752029418945,-0.05174971958622336,440,0.0003,-8.09831953048706,0.2,81.07633895874024,,
46,2944,85.38461538461539,-291.10167688461536,0,27248,0.0,0.024974179,0.1328125,38.62609100341797,-0.06109459176659584,450,0.0003,-7.975163173675537,0.2,79.0313003540039,,
47,3008,85.38461538461539,-291.10167688461536,0,27392,0.0,0.040451653,0.203125,21.375812530517578,-0.07103681936860085,460,0.0003,-7.791160583496094,0.2,44.182224655151366,,
,3072,,,,,0.0,0.027317137,0.15625,30.653657913208008,-0.06613945551216602,470,0.0003,-7.597978496551514,0.2,62.93468742370605,-183.6518112,400.0
48,3072,91.11111111111111,-290.8989007407407,0,30330,,,,,,,,,,,,
49,3136,99.13793103448276,-288.7257088620689,0,30467,0.0,0.031152105,0.1640625,34.17892837524414,-0.0766415998339653,480,0.0003,-7.569041395187378,0.2,69.55157928466797,,
50,3200,103.56666666666666,-287.6900101666667,0,30597,-1.1920928955078125e-07,0.04109685,0.225,34.188018798828125,-0.07378541305661201,490,0.0003,-7.467291450500488,0.2,69.2574333190918,,
51,3264,103.56666666666666,-287.6900101666667,0,30705,0.0,0.041215673,0.2171875,22.746294021606445,-0.0702400729060173,500,0.0003,-7.387417554855347,0.2,46.455340194702146,,
52,3328,103.56666666666666,-287.6900101666667,0,30816,0.0,0.02742074,0.1359375,14.829029083251953,-0.062307053990662095,510,0.0003,-7.326716613769531,0.2,30.929436874389648,,
53,3392,103.56666666666666,-287.6900101666667,0,30935,0.0,0.022933966,0.109375,18.300395965576172,-0.05883920285850763,520,0.0003,-7.237463188171387,0.2,37.982845306396484,,
54,3456,103.56666666666666,-287.6900101666667,0,31045,0.0,0.03433932,0.196875,14.905449867248535,-0.06851069815456867,530,0.0003,-7.087092065811158,0.2,31.057789421081544,,
55,3520,103.56666666666666,-287.6900101666667,0,31151,0.0,0.029980943,0.1796875,16.316165924072266,-0.06362794451415539,540,0.0003,-6.92903962135315,0.2,33.90174827575684,,
,3584,,,,,1.1920928955078125e-07,0.025252137,0.134375,12.839394569396973,-0.06726894993335009,550,0.0003,-6.7915716648101805,0.2,26.903839302062988,-181.95247179999998,400.0
56,3584,103.56666666666666,-287.6900101666667,0,34093,,,,,,,,,,,,
57,3648,103.56666666666666,-287.6900101666667,0,34209,-1.1920928955078125e-07,0.033944964,0.15625,17.11688804626465,-0.06673389934003353,560,0.0003,-6.6540265560150145,0.2,35.495964431762694,,
58,3712,103.56666666666666,-287.6900101666667,0,34329,0.0,0.023318913,0.1375,15.054852485656738,-0.05038740281015634,570,0.0003,-6.446998548507691,0.2,31.261070442199706,,
59,3776,103.56666666666666,-287.6900101666667,0,34456,0.0,0.02731265,0.140625,12.187644958496094,-0.06287376042455435,580,0.0003,-6.285531520843506,0.2,25.491666984558105,,
60,3840,103.56666666666666,-287.6900101666667,0,34557,0.0,0.02043181,0.0875,13.90257453918457,-0.047554020676761864,590,0.0003,-6.209599256515503,0.2,28.987249183654786,,
61,3904,103.56666666666666,-287.6900101666667,0,34661,0.0,0.03502047,0.196875,9.462966918945312,-0.08104117065668107,600,0.0003,-6.096381902694702,0.2,20.01870822906494,,
62,3968,103.56666666666666,-287.6900101666667,0,34753,0.0,0.031027105,0.1671875,8.698741912841797,-0.06389886140823364,610,0.0003,-5.929089546203613,0.2,18.430036354064942,,
63,4032,103.56666666666666,-287.6900101666667,0,34862,5.960464477539063e-08,0.03215894,0.165625,6.243506908416748,-0.0617841936647892,620,0.0003,-5.775619125366211,0.2,13.413726997375488,,
,4096,,,,,0.0,0.032552026,0.1984375,9.076820373535156,-0.07268287725746632,630,0.0003,-5.8089134216308596,0.2,19.243678855895997,-183.3952104,400.0
64,4096,103.56666666666666,-287.6900101666667,0,37779,,,,,,,,,,,,
65,4160,103.56666666666666,-287.6900101666667,0,37884,0.0,0.036718592,0.2015625,9.332679748535156,-0.06630661971867084,640,0.0003,-5.835685920715332,0.2,19.692106246948242,,
66,4224,103.56666666666666,-287.6900101666667,0,37989,0.0,0.026313182,0.146875,7.26155424118042,-0.05591359734535217,650,0.0003,-5.722985935211182,0.2,15.458447360992432,,
67,4288,103.56666666666666,-287.6900101666667,0,38087,0.0,0.024443105,0.11875,12.558932304382324,-0.051860587671399117,660,0.0003,-5.661573982238769,0.2,26.196718215942383,,
68,4352,103.56666666666666,-287.6900101666667,0,38198,0.0,0.027610064,0.1421875,8.986159324645996,-0.06983405947685242,670,0.0003,-5.627637958526611,0.2,19.061157035827637,,
69,4416,123.39393939393939,-282.1051791818182,0,38291,0.0,0.026144825,0.1453125,10.29894733428955,-0.057176553457975385,680,0.0003,-5.652285957336426,0.2,21.629256439208984,,
70,4480,123.39393939393939,-282.1051791818182,0,38385,0.0,0.10080221,0.490625,28.191333770751953,-0.0987531015649438,690,0.0003,-5.545714855194092,0.2,56.756241989135745,,
71,4544,129.44117647058823,-280.18742514705883,0,38487,0.0,0.020173997,0.096875,7.251147747039795,-0.0465473759919405,700,0.0003,-5.447128582000732,0.2,15.00733118057251,,
,4608,,,,,-1.1920928955078125e-07,0.014706491,0.06875,28.760223388671875,-0.036727023869752885,710,0.0003,-5.407768297195434,0.2,58.3737075805664,-183.46075399999998,400.0
72,4608,129.44117647058823,-280.18742514705883,0,41362,,,,,,,,,,,,
73,4672,129.44117647058823,-280.18742514705883,0,41455,0.0,0.016405586,0.1,6.809627532958984,-0.03999975509941578,720,0.0003,-5.393047285079956,0.2,14.433207511901855,,
74,4736,129.44117647058823,-280.18742514705883,0,41546,0.0,0.017981078,0.0984375,6.441025733947754,-0.043339429795742034,730,0.0003,-5.432446575164795,0.2,13.737832927703858,,
75,4800,129.44117647058823,-280.18742514705883,0,41637,0.0,0.017677587,0.0890625,6.111212730407715,-0.04859136864542961,740,0.0003,-5.459812355041504,0.2,13.095634365081787,,
